,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
0,800.0,3.0,2.0,Semi-Furnished,Rohini Sector 25,1.0,6500000.0,Ready_to_move,New_Property,Builder_Floor,
1,750.0,2.0,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000.0,Ready_to_move,New_Property,Apartment,6667.0
2,950.0,2.0,2.0,Furnished,"Citizen Apartment, Rohini Sector 13",1.0,15500000.0,Ready_to_move,Resale,Apartment,6667.0
3,600.0,2.0,2.0,Semi-Furnished,Rohini Sector 24,1.0,4200000.0,Ready_to_move,Resale,Builder_Floor,6667.0
4,650.0,2.0,2.0,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1.0,6200000.0,Ready_to_move,New_Property,Builder_Floor,6667.0
5,1300.0,4.0,3.0,Semi-Furnished,Rohini Sector 24,1.0,15500000.0,Ready_to_move,New_Property,Builder_Floor,6667.0
6,1350.0,4.0,3.0,Semi-Furnished,Rohini Sector 24,1.0,10000000.0,Ready_to_move,Resale,Builder_Floor,6667.0
7,650.0,2.0,2.0,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1.0,4000000.0,Ready_to_move,New_Property,Apartment,6154.0
8,985.0,3.0,3.0,Unfurnished,Rohini Sector 21,1.0,6800000.0,Almost_ready,New_Property,Builder_Floor,6154.0
9,1300.0,4.0,4.0,Semi-Furnished,Rohini Sector 22,1.0,15000000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
10,1100.0,3.0,2.0,Semi-Furnished,Rohini Sector 20,1.0,6200000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
11,870.0,3.0,2.0,Semi-Furnished,Rohini Sector 25,1.0,7700000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
12,630.0,2.0,2.0,Semi-Furnished,Rohini Sector 24,1.0,5500000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
13,660.0,2.0,2.0,Semi-Furnished,Rohini Sector 24,1.0,5000000.0,Ready_to_move,Resale,Builder_Floor,6154.0
14,344.4448,2.0,2.0,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1.0,3310000.0,Ready_to_move,Resale,Builder_Floor,6154.0
15,660.0,2.0,2.0,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1.0,4700000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
16,550.0,2.0,2.0,Semi-Furnished,Rohini Sector 22,1.0,4500000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
17,1100.0,4.0,3.0,Semi-Furnished,Rohini Sector 16,1.0,17000000.0,Ready_to_move,New_Property,Builder_Floor,6154.0
18,1150.0,3.0,3.0,Semi-Furnished,Rohini Sector 14,1.0,25000000.0,Ready_to_move,Resale,Apartment,6154.0
19,650.0,2.0,2.0,Semi-Furnished,Rohini Sector 24,1.0,6000000.0,Ready_to_move,Resale,Builder_Floor,6154.0
